Program,Year,Value
SURVEY,2022,3.03
SURVEY,2021,3.28
SURVEY,2020,3.19
SURVEY,2019,3.05
SURVEY,2018,3.19
SURVEY,2017,3.08
SURVEY,2016,3.53
SURVEY,2015,3.4
SURVEY,2014,3.18
SURVEY,2013,2.89
SURVEY,2012,2.48
SURVEY,2011,3.04
SURVEY,2010,3.13
SURVEY,2009,3.28
SURVEY,2008,3.44
SURVEY,2007,3.58
SURVEY,2006,3.53
SURVEY,2005,3.66
SURVEY,2004,3.9
SURVEY,2003,3.45
SURVEY,2002,3.53
SURVEY,2001,3.37
SURVEY,2000,3.55
SURVEY,1999,3.51
SURVEY,1999,3.53
SURVEY,1999,3.93
SURVEY,1998,3.4
SURVEY,1997,3.15
SURVEY,1996,3.22
SURVEY,1995,3.33
SURVEY,1994,3.3
SURVEY,1993,2.34
SURVEY,1992,3.39
SURVEY,1991,3.49
SURVEY,1990,3.55
SURVEY,1989,2.77
SURVEY,1988,2.11
SURVEY,1987,3.35
