Year,Geo Level,State,Commodity,Value
2023,STATE,IOWA,SOYBEANS,58
2023,STATE,IOWA,SOYBEANS,58
2023,STATE,IOWA,SOYBEANS,58
2022,STATE,IOWA,SOYBEANS,58.5
2022,STATE,IOWA,SOYBEANS,58
2022,STATE,IOWA,SOYBEANS,59
2022,STATE,IOWA,SOYBEANS,58
2022,STATE,IOWA,SOYBEANS,59
2021,STATE,IOWA,SOYBEANS,63
2021,STATE,IOWA,SOYBEANS,58
2021,STATE,IOWA,SOYBEANS,60
2021,STATE,IOWA,SOYBEANS,61
2021,STATE,IOWA,SOYBEANS,59
2020,STATE,IOWA,SOYBEANS,54
2020,STATE,IOWA,SOYBEANS,58
2020,STATE,IOWA,SOYBEANS,54
2020,STATE,IOWA,SOYBEANS,56
2020,STATE,IOWA,SOYBEANS,54
2019,STATE,IOWA,SOYBEANS,55
2019,STATE,IOWA,SOYBEANS,55
2019,STATE,IOWA,SOYBEANS,53
2019,STATE,IOWA,SOYBEANS,53
2019,STATE,IOWA,SOYBEANS,54
2018,STATE,IOWA,SOYBEANS,56
2018,STATE,IOWA,SOYBEANS,59
2018,STATE,IOWA,SOYBEANS,58
2018,STATE,IOWA,SOYBEANS,61
2018,STATE,IOWA,SOYBEANS,60
2017,STATE,IOWA,SOYBEANS,57
2017,STATE,IOWA,SOYBEANS,56
2017,STATE,IOWA,SOYBEANS,56
2017,STATE,IOWA,SOYBEANS,56
2017,STATE,IOWA,SOYBEANS,57
2016,STATE,IOWA,SOYBEANS,60
2016,STATE,IOWA,SOYBEANS,57
2016,STATE,IOWA,SOYBEANS,59
2016,STATE,IOWA,SOYBEANS,58
2016,STATE,IOWA,SOYBEANS,58
2015,STATE,IOWA,SOYBEANS,56.5
2015,STATE,IOWA,SOYBEANS,52
2015,STATE,IOWA,SOYBEANS,56
2015,STATE,IOWA,SOYBEANS,53
2015,STATE,IOWA,SOYBEANS,53
2014,STATE,IOWA,SOYBEANS,51
2014,STATE,IOWA,SOYBEANS,50
2014,STATE,IOWA,SOYBEANS,52
2014,STATE,IOWA,SOYBEANS,51
2014,STATE,IOWA,SOYBEANS,51
2013,STATE,IOWA,SOYBEANS,45.5
2013,STATE,IOWA,SOYBEANS,46
2013,STATE,IOWA,SOYBEANS,45
2013,STATE,IOWA,SOYBEANS,43
2012,STATE,IOWA,SOYBEANS,45
2012,STATE,IOWA,SOYBEANS,43
2012,STATE,IOWA,SOYBEANS,44
2012,STATE,IOWA,SOYBEANS,43
2012,STATE,IOWA,SOYBEANS,39
2011,STATE,IOWA,SOYBEANS,51.5
2011,STATE,IOWA,SOYBEANS,52
2011,STATE,IOWA,SOYBEANS,50.5
2011,STATE,IOWA,SOYBEANS,50.5
2011,STATE,IOWA,SOYBEANS,51
2010,STATE,IOWA,SOYBEANS,51
2010,STATE,IOWA,SOYBEANS,51
2010,STATE,IOWA,SOYBEANS,52
2010,STATE,IOWA,SOYBEANS,52
2010,STATE,IOWA,SOYBEANS,52
2009,STATE,IOWA,SOYBEANS,51
2009,STATE,IOWA,SOYBEANS,52
2009,STATE,IOWA,SOYBEANS,51
2009,STATE,IOWA,SOYBEANS,52
2009,STATE,IOWA,SOYBEANS,52
2008,STATE,IOWA,SOYBEANS,46.5
2008,STATE,IOWA,SOYBEANS,47
2008,STATE,IOWA,SOYBEANS,46
2008,STATE,IOWA,SOYBEANS,46
2008,STATE,IOWA,SOYBEANS,47
2007,STATE,IOWA,SOYBEANS,52
2007,STATE,IOWA,SOYBEANS,50
2007,STATE,IOWA,SOYBEANS,52
2007,STATE,IOWA,SOYBEANS,52
2007,STATE,IOWA,SOYBEANS,51
2006,STATE,IOWA,SOYBEANS,50.5
2006,STATE,IOWA,SOYBEANS,45
2006,STATE,IOWA,SOYBEANS,50
2006,STATE,IOWA,SOYBEANS,50
2006,STATE,IOWA,SOYBEANS,49
2005,STATE,IOWA,SOYBEANS,52.5
2005,STATE,IOWA,SOYBEANS,44
2005,STATE,IOWA,SOYBEANS,53
2005,STATE,IOWA,SOYBEANS,51
2005,STATE,IOWA,SOYBEANS,45
2004,STATE,IOWA,SOYBEANS,49
2004,STATE,IOWA,SOYBEANS,42
2004,STATE,IOWA,SOYBEANS,49
2004,STATE,IOWA,SOYBEANS,47
2004,STATE,IOWA,SOYBEANS,40
2003,STATE,IOWA,SOYBEANS,32.5
2003,STATE,IOWA,SOYBEANS,46
2003,STATE,IOWA,SOYBEANS,34
2003,STATE,IOWA,SOYBEANS,34
2003,STATE,IOWA,SOYBEANS,39
2002,STATE,IOWA,SOYBEANS,48
2002,STATE,IOWA,SOYBEANS,45
2002,STATE,IOWA,SOYBEANS,46
2002,STATE,IOWA,SOYBEANS,46
2002,STATE,IOWA,SOYBEANS,46
2001,STATE,IOWA,SOYBEANS,44
2001,STATE,IOWA,SOYBEANS,42
2001,STATE,IOWA,SOYBEANS,44
2001,STATE,IOWA,SOYBEANS,43
2001,STATE,IOWA,SOYBEANS,42
2000,STATE,IOWA,SOYBEANS,43.5
2000,STATE,IOWA,SOYBEANS,49
2000,STATE,IOWA,SOYBEANS,43
2000,STATE,IOWA,SOYBEANS,44
2000,STATE,IOWA,SOYBEANS,47
1999,STATE,IOWA,SOYBEANS,44.5
1999,STATE,IOWA,SOYBEANS,48
1999,STATE,IOWA,SOYBEANS,45
1999,STATE,IOWA,SOYBEANS,48
1999,STATE,IOWA,SOYBEANS,50
1998,STATE,IOWA,SOYBEANS,48
1998,STATE,IOWA,SOYBEANS,47
1998,STATE,IOWA,SOYBEANS,46
1998,STATE,IOWA,SOYBEANS,46
1998,STATE,IOWA,SOYBEANS,50
1997,STATE,IOWA,SOYBEANS,46
1997,STATE,IOWA,SOYBEANS,49
1997,STATE,IOWA,SOYBEANS,47
1997,STATE,IOWA,SOYBEANS,48
1997,STATE,IOWA,SOYBEANS,49
1996,STATE,IOWA,SOYBEANS,44
1996,STATE,IOWA,SOYBEANS,45
1996,STATE,IOWA,SOYBEANS,44
1996,STATE,IOWA,SOYBEANS,44
1996,STATE,IOWA,SOYBEANS,44
1995,STATE,IOWA,SOYBEANS,44
1995,STATE,IOWA,SOYBEANS,43
1995,STATE,IOWA,SOYBEANS,44
1995,STATE,IOWA,SOYBEANS,43
1995,STATE,IOWA,SOYBEANS,44
1994,STATE,IOWA,SOYBEANS,50.5
1994,STATE,IOWA,SOYBEANS,44
1994,STATE,IOWA,SOYBEANS,51
1994,STATE,IOWA,SOYBEANS,51
1994,STATE,IOWA,SOYBEANS,46
1993,STATE,IOWA,SOYBEANS,31
1993,STATE,IOWA,SOYBEANS,35
1993,STATE,IOWA,SOYBEANS,31
1993,STATE,IOWA,SOYBEANS,34
1993,STATE,IOWA,SOYBEANS,35
1992,STATE,IOWA,SOYBEANS,44
1992,STATE,IOWA,SOYBEANS,42
1992,STATE,IOWA,SOYBEANS,43
1992,STATE,IOWA,SOYBEANS,42
1992,STATE,IOWA,SOYBEANS,42
1991,STATE,IOWA,SOYBEANS,40.5
1991,STATE,IOWA,SOYBEANS,38
1991,STATE,IOWA,SOYBEANS,40
1991,STATE,IOWA,SOYBEANS,39
1991,STATE,IOWA,SOYBEANS,38
1990,STATE,IOWA,SOYBEANS,41.5
1990,STATE,IOWA,SOYBEANS,38
1990,STATE,IOWA,SOYBEANS,41
1990,STATE,IOWA,SOYBEANS,39
1990,STATE,IOWA,SOYBEANS,39
1989,STATE,IOWA,SOYBEANS,39
1989,STATE,IOWA,SOYBEANS,37
1989,STATE,IOWA,SOYBEANS,38
1989,STATE,IOWA,SOYBEANS,38
1989,STATE,IOWA,SOYBEANS,36
1988,STATE,IOWA,SOYBEANS,31
1988,STATE,IOWA,SOYBEANS,30
1988,STATE,IOWA,SOYBEANS,30
1988,STATE,IOWA,SOYBEANS,30
1988,STATE,IOWA,SOYBEANS,29
1987,STATE,IOWA,SOYBEANS,43.5
1987,STATE,IOWA,SOYBEANS,41
1987,STATE,IOWA,SOYBEANS,43
1987,STATE,IOWA,SOYBEANS,42
1987,STATE,IOWA,SOYBEANS,41
